Artist_Group,Artist,Title,QR_Code,Released,Record_Case
ABBA,ABBA,Fernando,https://www.discogs.com/release/2802625,1976,"7"" - Playlist - 01"
ABBA,ABBA,"Gimme, Gimme, Gimme (A Man After Midnight)",https://www.discogs.com/release/429128,1979,"7"" - Playlist - 01"
ABBA,ABBA,"Head Over Heels",https://www.discogs.com/release/429126,1982,"7"" - Playlist - 01"
ABBA,ABBA,"Honey, Honey",https://www.discogs.com/release/2957277,1974,"7"" - Archive 01"
ABBA,ABBA,"I Have A Dream",https://www.discogs.com/release/12414240,1979,"7"" - Playlist - 01"
ABBA,ABBA,"Knowing Me, Knowing You",https://www.discogs.com/release/4059333,1977,"7"" - Playlist - 01"
ABBA,ABBA,"Mamma Mia",https://www.discogs.com/release/467828,1975,"7"" - Playlist - 01"
ABBA,ABBA,"Money, Money, Money",https://www.discogs.com/release/6869076,1976,"7"" - Playlist - 01"
ABBA,ABBA,"One Of Us",https://www.discogs.com/release/2893901,1981,"7"" - Playlist - 01"
ABBA,ABBA,SOS,https://www.discogs.com/release/392142,1975,"7"" - Playlist - 01"
ABBA,ABBA,"Summer Night City",https://www.discogs.com/release/429155,1978,"7"" - Playlist - 01"
ABBA,ABBA,"Super Trouper / The Piper",https://www.discogs.com/release/429131,1980,"7"" - Playlist - 01"
ABBA,ABBA,"Take A Chance On Me",https://www.discogs.com/release/5947514,1978,"7"" - Playlist - 01"
ABBA,ABBA,"The Name Of The Game",https://www.discogs.com/release/3996261,1977,"7"" - Playlist - 01"
ABBA,ABBA,"The Winner Takes It All / Elaine",https://www.discogs.com/release/429148,1980,"7"" - Playlist - 01"
ABBA,"ABBA, Björn & Benny, Agnetha & Anni-Frid",Waterloo,https://www.discogs.com/release/392151,1974,"7"" - Playlist - 01"
ABC,ABC,"All Of My Heart / Overture (From The Lexicon Of Love)",https://www.discogs.com/release/110802,1982,"7"" - Playlist - 01"
ABC,ABC,"Poison Arrow",https://www.discogs.com/release/47921,1982,"7"" - Playlist - 01"
ABC,ABC,"Tears Are Not Enough",https://www.discogs.com/release/3013906,1981,"7"" - Playlist - 01"
ABC,ABC,"The Look Of Love (Parts One And Two)",https://www.discogs.com/release/33608,1982,"7"" - Playlist - 01"
ABC,ABC,"When Smokey Sings",https://www.discogs.com/release/6676294,1987,"7"" - Playlist - 01"
"Abigail Mead And Nigel Goulding","Abigail Mead And Nigel Goulding","Full Metal Jacket (I Wanna Be Your Drill Instructor)",https://www.discogs.com/release/5000289,1987,"7"" - Novelty"
AC/DC,AC/DC,Heatseeker,https://www.discogs.com/release/16435917,1988,"7"" - Playlist - 01"
AC/DC,AC/DC,"Highway To Hell",https://www.discogs.com/release/701273,1979,"7"" - Playlist - 01"
AC/DC,AC/DC,"Let's Get It Up / Back In Black (Recorded Live Dec 1981)",https://www.discogs.com/release/1878747,1982,"7"" - Playlist - 01"
AC/DC,AC/DC,"Rock And Roll Ain't Noise Pollution",https://www.discogs.com/release/11103421,"","7"" - Playlist - 01"
AC/DC,AC/DC,"That's The Way I Wanna Rock N Roll",https://www.discogs.com/release/2193101,1988,"7"" - Playlist - 01"
AC/DC,AC/DC,"Whole Lotta Rosie",https://www.discogs.com/release/9169518,1980,"7"" - Playlist - 01"
"Ace Frehley","Ace Frehley","New York Groove",https://www.discogs.com/release/2050938,1978,"7"" - Playlist - 01"
"Ace Of Base","Ace Of Base","All That She Wants (Radio Edit)",https://www.discogs.com/release/163294,1992,"7"" - Playlist - 01"
"Acker Bilk","Acker Bilk","Four Hits And A Mister",https://www.discogs.com/release/5876808,"","7"" - Archive 01"
"Acker Bilk","Acker Bilk","Song For Guy",https://www.discogs.com/release/10007197,1980,"7"" - Archive 01"
"Acker Bilk And His Paramount Jazz Band","Acker Bilk And His Paramount Jazz Band","Smile Sam Smile",https://www.discogs.com/release/10101798,1986,"7"" - Archive 01"
"Acker Bilk And His Paramount Jazz Band","Acker Bilk And His Paramount Jazz Band","Summer Set",https://www.discogs.com/release/467832,1959,"7"" - Archive 01"
"Acker Bilk His Clarinet And Strings","Acker Bilk His Clarinet And Strings",Aria,https://www.discogs.com/release/1635162,1976,"7"" - Archive 01"
